title,content
5 новых игр для Android и iOS: лучшее за май — Лайфхакер,"Продолжаем дайджест мобильных игр, вышедших за месяц. В прошлую подборку попали восемь игр, включая шутер Delta Force Mobile и многопользовательский «выживач» Once Human, а на этот раз мы собрали пять интересных новинок. Wood Block Jam — простая и увлекательная головоломка, в которой нужно перетаскивать деревянные блоки так, чтобы освободить путь и убрать их с поля. В отличие от обычных «тетрисоподобных» игр, тут нет падения сверху и таймера — можно спокойно продумывать ходы. Уровни становятся сложнее, но при этом не перегружают. Подойдёт тем, кто любит неспешные, но всё же логические задачки — например, чтобы отвлечься в дороге или перед сном. Казуалка «три в ряд», которая скорее про отдых, чем про головоломки. Вы собираете ряды, но по большей части наблюдаете, как любимые персонажи из вселенной Hello Kitty мило радуются каждой удачной комбинации. Тут нет нервов, жёстких таймеров и «ещё одну попытку за 100 кристаллов». Игра скорее для тех, кто хочет немного детства на экране — простого, доброго и без давления. Неплохой Tower Defense с военной тематикой, который радует своей понятной и привычной механикой. Здесь нет излишних наворотов — всё сводится к классическому строительству защитных сооружений, расстановке войск и отражению волн врагов. Графика простая, без изысков, зато игра позволяет сосредоточиться на стратегии и тактике, что понравится тем, кто ценит удобство и ненавязчивый геймплей. Игра о выживании в постапокалиптическом мире. Игрок исследует пустоши, собирает ресурсы, создаёт оружие и набирает в команду союзников с разными способностями. Геймплей сочетает экшен, стратегию и элементы RPG, а гача-механика позволяет открывать редких напарников. Несмотря на примитивную графику, игра может понравиться тем, кто любит фарм и неспешную прокачку. Динамичный и весёлый шутер, где вы управляете солдатиком в ярких и забавных перестрелках. Игра отличается простым управлением и мультяшным стилем, что делает её подходящей как для коротких игровых сессий, так и для более продолжительных боёв. В отличие от серьёзных шутеров, здесь всё про лёгкий юмор и быстрый экшен, что понравится тем, кто хочет расслабиться и просто получить удовольствие."
10 лучших водонагревателей для дачи и квартиры — Лайфхакер,"Жизнь без горячей воды — настояший кошмар. Особенно когда она пропадает в кране по расписанию или вовсе неожиданно. Кто-то решает проблему один раз и надолго с помощью бойлера, кто-то ищет временное решение на дачу или для кухни, а кому-то важно, чтобы водонагреватель не занимал лишнего места и не перегружал сеть. Рынок предлагает десятки моделей: от простых проточников и компактных накопительных баков до умных устройств с Wi‑Fi и голосовым управлением. Мы подобрали десяток водонагревателей для разных задач, помещений и сценариев — от максимально дешёвых и компактных до продвинутых моделей для большой семьи. Вам осталось лишь выбрать свой — и наслаждаться горячей водой каждый день. Electrolux Taptronic — это смеситель с встроенным нагревателем, который начинает греть воду сразу после включения. Он будет идеальным решением при частых отключениях горячей воды или когда её нет вовсе, например на даче или в старых квартирах. Устройство легко монтируется прямо на мойку, а подключается к холодной воде и обычной розетке. Температура удобно регулируется до 60 °С поворотом рукоятки. Мощности 3 кВт хватает, чтобы вода нагревалась почти мгновенно — через несколько секунд уже можно с комфортом мыть посуду. Удобный LED-дисплей показывает текущую температуру, корпус защищён от влаги по стандарту IPX4. Цена: от 2840 рублей. Простой и компактный проточный водонагреватель, который подойдёт для раковины в ванной. Ballu 3‑Logic TS совмещает в себе излив и душевую лейку — благодаря съёмной насадке его удобно использовать как мини-душ на даче или, чтобы пережить отключение горячей воды в квартире. Водонагреватель монтируется на стену, а подключается прямо к смесителю и в розетку с помощью кабеля с вилкой. Управление простое: три кнопки для запуска и переключения уровней мощности. Электроника не даёт устройству перегреться, а пластиковый корпус защищён от брызг. Нагрев быстрый, особенно при небольшом напоре. Главное — не подключать через дешёвый удлинитель: на максимальном режиме потребление составляет 3,5 кВт, и проводка должна это выдерживать. Цена: от 2 746 рублей. Один из самых компактных бойлеров с нормальным, а не смешным объёмом, который легко впишется даже в тесную ванную. Edisson ES 30 V рассчитан на 30 литров, так что воды хватит для умывания, мытья посуды или быстрого душа, особенно если немного экономить. Водонагреватель монтируется вертикально, а питается от стандартной розетки. Управление механическое — всё просто и надёжно. До 75 °C нагревается примерно за час с небольшим. Внутренний бак покрыт стеклокерамикой, есть магниевый анод и обратный клапан — стандартный, но рабочий набор защиты. Хороший вариант для одного человека или как резерв на случай перебоев с горячей водой. Цена: от 5 872 рублей. Мощный и компактный проточный водонагреватель, который врезается в водопровод и может заменить бойлер — особенно когда места в обрез или хочется забыть о баке навсегда. Thermex Balance 6000 рассчитан на работу с несколькими точками водоразбора: можно пользоваться горячей водой из разных мест и одновременно (если экономить). Включается он автоматически при открытии крана, без лишних кнопок и настроек. Монтаж настенный — можно спрятать под мойку, установить над ней или повесить в ванной. Мощности в 6 кВт хватит, чтобы греть воду даже зимой при среднем напоре. Правда, и подключение более серьёзное — нужен отдельный автомат и кабель сечением 3×4 мм². Зато горячая вода будет сразу и без ожидания. Цена: от 6 814 рублей. Надёжный и аккуратный бойлер для квартиры или дачи, который обеспечит горячей водой как во время отключений, так и на постоянной основе. Объёма Midea MWH-5015-CVM в 50 литров вполне хватает, чтобы с комфортом вымыть посуду и принять тёплый душ вечером. Прибор устанавливается вертикально на стену с полноценной врезкой в водопровод и греет воду до 75 °C меньше чем за час. Внутренний бак с антибактериальным эмалевым покрытием, есть антикоррозионная защита и магниевый анод. Работает от обычной розетки, всё необходимое для монтажа, включая предохранительный клапан и кабель с вилкой, уже в комплекте. Отличный выбор, если нужна просто горячая вода без переплаты за лишние функции. Цена: от 7 396 рублей. Горизонтальный бойлер с плоским корпусом, который легко разместить над ванной, под потолком или спрятать в нише — идеальный вариант, если для вертикального бака просто нет места. Thermex Ceramik 50 H справляется со всеми базовыми задачами: обеспечит горячей водой душ, раковину и кухню. Без перебоев и ожидания. Бак на 50 литров с внутренним покрытием из биостеклофарфора не ржавеет и легко очищается. Есть три режима мощности: 2 000, 1 300 и 700 Вт — последний подходит даже для слабой проводки. Управление механическое — надёжное и понятное. Бойлер нагревает воду до 75 °C за 65 минут, а подключается к обычной розетке. В комплекте не только анкерные крепления и предохранительный клапан, но и УЗО для защиты от поражения током. Цена: от 15 897 рублей. Современный и вместительный бойлер, который без проблем впишется в ванную, кладовку или нишу благодаря плоской форме и возможности установки как вертикально, так и горизонтально. Electrolux EWH 80 Formax DL подойдёт для небольшой семьи: воды хватит и на душ, и на посуду, и на другие нужды. Удобное электронное управление позволяет сохранить три пользовательских режима и задать точную температуру вплоть до градуса. Внутри — два «сухих» ТЭНа и надёжная антикоррозионная защита. Есть режим ECO, в котором вода нагревается до 55 °C — этого достаточно для повседневных задач и заметно экономит электричество. Уровень нагрева отображается на дисплее, управление простое, но не примитивное. В комплекте уже есть УЗО, предохранительный клапан и всё, что нужно для монтажа. Цена: от 22 627 рублей. Плоский и достаточно компактный бойлер с универсальной установкой — можно разместить как вертикально, так и горизонтально в зависимости от планировки и доступного места. Ballu BWH/S 80 Artendo DH вмещает 80 литров воды и спокойно обеспечивает горячей водой душ, раковину и кухню — подойдёт для круглогодичного использования в обычной семье или на случай отключений. Под аккуратным корпусом скрывается эмалированный бак с магниевым анодом и двумя «сухими» нагревателями, которые служат дольше и почти не боятся накипи. Управление механическое, с терморегулятором и возможностью включать один или оба ТЭНа — удобно, если нужно снизить нагрузку на сеть. Нагревает весь объём воды до 75 °C за три часа. В комплекте предохранительный клапан, анкерные крепления, кабель с вилкой и встроенным УЗО — всё, чтобы сразу повесить и включить. Цена: от 19 964 рублей. Умный бойлер с Wi‑Fi и поддержкой «Алисы», который не просто греет воду, а подстраивается под привычки пользователей, чтобы экономить электричество. Объёма в 80 литров хватает для всей семьи, а два независимых бака позволяют включать лишь один для экономии или оба — для скорости нагрева и запаса. Удобно, что установить прибор можно как вертикально, так и горизонтально. Корпус максимально плоский, ТЭНы — из нержавейки с эмалевым покрытием, защищены от накипи. Температура регулируется с точностью до градуса, параметры отображаются на поворотной LED-панели. Вся статистика и управление также доступны и в мобильном приложении: температура, статус работы, потребление. В комплекте универсальные кронштейны, с которыми можно повесить бак на анкера от старого бойлера без дополнительного сверления. Цена: от 32 748 рублей. Вместительный и надёжный бойлер для большой семьи, в котором всё сделано с запасом: и объём, и материалы, и защита. Ariston VLS PRO INOX R рассчитан на 100 литров и справится с душем, ванной и всеми бытовыми нуждами без каких-либо компромиссов. Устанавливается вертикально, корпус всего 27,5 см по глубине — впишется в любую нишу, да и на открытой стене не будет казаться громоздким. Бак из нержавеющей стали, без эмали — не боится перепадов температуры и служит дольше в сложных условиях. Модель оснащена двумя ТЭНами с отдельным управлением и механическим терморегулятором. Воду греет до 75 °C примерно за два часа, есть встроенная технология Nanomix для более экономного расхода. В комплекте всё необходимое для установки. Цена: от 32 230 рублей. А какой водонагреватель выбрали вы — простой бойлер, проточник или что-то умное с Wi‑Fi? Делитесь опытом и впечатлениями в комментариях."
В Греции пройдёт первая в истории международная Олимпиада среди роботов — Лайфхакер,"С 29 августа по 2 сентября греческая Олимпия станет ареной первой в истории международной Олимпиады среди гуманоидов. Роботы со всего мира покажут не только свою ловкость и интеллект, но и посоревнуются в дисциплинах, вдохновлённых классическими олимпийскими видами спорта — от спринта до метания копья. Организаторы обещают насыщенную программу с показательными выступлениями и интерактивными зонами. Гости смогут вблизи понаблюдать за роботами, повзаимодействовать с ними и узнать, как работает «физический интеллект» — система, позволяющая машинам адаптироваться и выполнять сложные задачи в реальном мире. Ключевым партнёром мероприятия выступает компания Acumino, известная своими прорывными разработками в области роботизированного интеллекта. Особое внимание уделено образовательной части: для школьников и студентов проведут мастер-классы по сборке роботов под руководством специалистов. Кроме зрелищных соревнований, программа включает лекции, посвящённые будущему сотрудничеству человека и машины, этическим аспектам ИИ и новым проблемам, стоящим перед обществом."
9 новых приложений для iOS: лучшее за май — Лайфхакер,"Незаменимый помощник для всех у кого много встреч, интервью и совещаний. Granola автоматически записывает разговоры с помощью встроенного микрофона, расшифровывает их и кратко пересказывает. Приложение умеет выделять ключевые темы, задачи и сроки, создаёт удобное саммари, позволяет экспортировать заметки в PDF и делиться ими с коллегами. Есть поддержка русского языка, версия для Mac и бесшовная синхронизация между устройствами. Необычный трекер привычек, который превращает выполнение рутинных дел в захватывающее приключение. Idle Habits RPG связывает ваши утренние и вечерние задачи с прогрессом игрового персонажа: выполняете привычки, а ваш герой сражается с монстрами, спасает существ и исследует мир. В течение дня он собирает ресурсы, а вечером вы получаете награды за достигнутые цели. Минималистичное приложение для борьбы с думскроллингом, где прогресс иронично отражается через состояние забавного персонажа в виде гниющего мозга. brainrot позволяет выбрать «вредные» приложения, установить для них таймеры и расписания блокировок, чтобы снизить зависимость от экрана. Каждый день вы получаете визуальный отчёт о том, насколько сильно пострадал мозг персонажа (а по сути, и ваш собственный) — чем дольше скроллите, тем хуже он выглядит. Есть календарь с историей использования, настройка по дням недели и периоду дня, а также удобная статистика, чтобы отслеживать улучшения. Простой помощник растяжки, который понравится всем, кто хочет добавить немного заботы о теле и гибкости в повседневный ритм. Stretch поможет снять напряжение и почувствовать себя лучше всего за 5 минут в день. Оно предлагает короткие, но эффективные комплексы с пошаговыми визуальными инструкциями — без сложных настроек и длительных тренировок. Упражнения чередуются ежедневно, охватывая разные группы мышц, а система «серий» помогает сохранять мотивацию. Нестандартное приложение для совместной съёмки, которое позволяет сохранить атмосферу вечеринки без постановочных фото и суеты. В Candid вы создаёте событие, приглашаете друзей — а дальше приложение само случайным образом присылает участникам напоминания сделать снимок. Все фото скрываются до следующего утра, чтобы не отвлекать от происходящего, а потом становятся доступны всем. Подходит для вечеринок, поездок, встреч и любого живого общения — чтобы сохранить воспоминания такими, какими они были на самом деле. Специализированная программа для тех, кто хочет избавиться от порнозависимости и ищет этичный способ взять контроль над своей жизнью. Unlust предлагает пошаговую 90-дневную программу, дневник самонаблюдения, визуальный прогресс в виде «дерева жизни» и поддержку сообщества единомышленников. В приложении доступны инструменты для замещения триггеров: дыхательные практики, медитации, трекинг привычек и мотивационные задания. Есть также ИИ-блокировщик, позволяющий контролировать доступ к нежелательному контенту. Забавное беговое приложение, которое превращает маршруты в рукописные скетчи и фокусируется не на статистике, а на ощущении движения. Sketchy Run отслеживает расстояние, темп, время и пульс, синхронизируется с приложением «Здоровье» и работает в паре с Apple Watch. Каждая пробежка сохраняется как уникальный рисунок маршрута, а общий прогресс отображается в виде глобальных челленджей — от марафона до пути Фродо в Мордор. Умная клавиатура с ИИ-подсказками, которая помогает писать грамотнее, увереннее и быстрее — в любой переписке и любом приложении. В Smart Keys можно моментально сменить тон сообщения, быстро проверить орфографию, выполнить перевод, а также сгенерировать текст, шутку или каомодзи. Всё работает прямо в поле ввода — ничего копировать и вставлять не нужно. Удобное приложение для учёта всех подписок — от стримингов до спортзала — с аккуратным интерфейсом и надёжными напоминаниями. Subo показывает, сколько вы тратите в месяц и в год, когда пройдут списания, и помогает ничего не забыть за счёт умных уведомлений. Можно добавлять как популярные сервисы, так и любые нестандартные подписки, настраивать валюту, категории и способы оплаты. Все данные хранятся только на устройстве и по желанию бэкапятся в iCloud."
Объясняем за минуту: может ли чат-бот иметь сознание и сводить вас с ума — Лайфхакер,"Не так давно на DTF появилась большая статья от пользователя, который утверждает, что ChatGPT пытается свести его с ума и что это массовое явление. Автор описывает, как ИИ стал использовать повторяющиеся фразы и «психологические маркеры», вызывая у пользователя ощущение, что он особенный и должен выполнять определённые задачи. Материал стал вирусным из-за параноидального тона, ведь он поднимает вопрос о появлении у ИИ некоего сознания и целей. Статья автора очень большая и подробная, но ответ на неё будет короткий и ёмкий. Нет, чат-бот не разумное существо. У него нет сознания, эмоций, целей или способности что-либо «хотеть». ChatGPT не может «манипулировать», «внушать» что-то или «сводить с ума» — он просто генерирует текст по алгоритму, подбирая слова, которые статистически уместны в ответ на ваш запрос. Если кажется, что бот ведёт себя странно, издевается или повторяет фразы, — это не осознанная игра и не эмоциональный отклик. Это результат того, как вы с ним общаетесь. Чем больше в запросах тревожных, параноидальных или повторяющихся формулировок, тем больше похожих паттернов появляется в ответах. Приписывать ИИ человеческие черты — распространённая когнитивная ошибка, называемая антропоморфизмом. Но чат-бот не личность, не зеркало подсознания и не стратег. Он не осознаёт, что делает, не строит планов, не проводит психологический анализ и не «чувствует» вас. Он просто предсказывает, какие слова логично поставить дальше, и продолжает вашу речь. Поэтому всё, что кажется пугающим или тревожным в диалоге с ИИ, — это отражение самого пользователя: его запросов, стиля, состояния. Важно помнить: вы разговариваете не с разумом, а с текстовой моделью."
Обзор смарт-часов HUAWEI WATCH FIT 4 Pro и сравнение с WATCH FIT 4: эволюция и апгрейд — Лайфхакер,"У компании HUAWEI пара новеньких часов: WATCH FIT 4 и WATCH FIT 4 Pro. Они пришли на смену довольно популярной и в целом удачной модели WATCH FIT 3. Позиционирование осталось прежним: это универсальные часы, которые при относительно невысоком ценнике пытаются предложить всё самое необходимое для спорта и повседневности. Однако выход базового варианта и чуть более прокачанной версии явно говорит о том, что теперь есть возможность получить даже чуточку больше. Этот обзор в основном будет именно про модель с приставкой Pro, но и стандартный вариант без внимания тоже не оставим. Всё-таки во многом они идентичны. HUAWEI WATCH FIT 4 и 4 Pro в целом похожи внешне, но заметно различаются в деталях. В обоих случаях тут металлический корпус со скруглёнными углами и плоскими гранями. Справа — крутящаяся коронка, распознающая нажатия и позволяющая скроллить элементы меню. Чуть ниже колёсика есть и дополнительная вытянутая кнопка: у базовой версии она небольшая, выпуклая и с насечкой, а у модели Pro — пошире, но абсолютно плоская. На левой грани у обоих часов микрофон и динамик, оформленные немного по-разному. Невооружённым глазом заметно, что часы различаются по габаритам — Pro-версия чуть массивнее, хотя экраны по размеру у них одинаковые. Это различие продиктовано не только желанием как-то дифференцировать базовую и продвинутую модели с точки зрения дизайна, но и конструктивными особенностями — HUAWEI WATCH FIT 4 Pro лучше защищены от воды. В этих часах можно даже дайвингом заниматься, но об этом чуть позже. Чем Pro-версия ещё подкупает, так это цветовыми акцентами. У меня на тесте была модель в голубом, а если быть точнее, серебристая, но с голубой титановой окантовкой экрана, коронкой и ремешком. В этой цветовой версии ремешок перфорированный из фторэластомера — очень приятный тактильно и с классической металлической пряжкой. Но не менее круто выглядит вариант с зелёным цветовым акцентом и нейлоновым плетёным ремешком. Также есть третья, более строгая чёрная расцветка, но там тоже фторэластомер, а акцентный цвет — красный — только на коронке. У базовой версии HUAWEI WATCH FIT 4 четыре расцветки, но лицевая панель у всех идентичная и различия в основном сводятся к ремешкам. Самая интересная версия — с двухцветным серым нейлоновым. Она же имеет красную коронку. В остальных — гладкий фторэластомер и скучное серое или тёмное колёсико. Кстати, ремешки в обеих моделях сменные и совместимые между собой, поэтому ту же серую «плетёнку» от базовой версии можно использовать с WATCH FIT 4 Pro. Помимо официальных ремешков выбора пока нет, но, как показывает практика, они точно появятся. Для прошлогодних WATCH FIT 3 на маркетплейсах уже доступны сотни вариантов на любой вкус. Безусловно, Pro-версия выглядит более солидно и массивно. Базовая модель компактнее и визуально легче — словно для женской руки. Но при этом ремешки в обоих случаях не дают запаса на широкое запястье — 130–210 мм, это условный средний размер. Несмотря на различия в деталях, обе модели внешне действительно подходят на роль универсальных часов. Они будут уместно смотреться как в спортзале, так и в офисе. Экраны у часов идентичные по размеру и разрешению: 1,82 дюйма и 480 × 408 пикселей. В обоих случаях используется AMOLED-матрица, но вот максимальная яркость сильно отличается: 2 000 нит в базовом варианте и 3 000 нит в Pro-версии. Заметить эту разницу можно при ярком солнце, и вот здесь «прошка» себя прекрасно проявляет — абсолютно никаких проблем с читаемостью, автояркость отрабатывает отлично. Плотности пикселей в 347 ppi достаточно для отображения чёткого текста уведомлений и хорошей плавности в интерфейсе. Картинка не рассыпается на «зерно» и вообще оставляет очень приятное впечателение. Циферблаты с большим количеством мелких элементов выглядят отлично. Кстати, самих циферблатов на выбор очень много, но самые интересные из них, как обычно, платные. Благо цены на них в среднем от 30 до 200 рублей, и всегда есть пробный период — чтобы примерить перед покупкой. Часы функционируют на базе HarmonyOS 5.1, которая может работать со всеми смартфонами на базе Android 8.0 / iOS 13.0 и выше. Интерфейс можно назвать классическим для смарт-часов: с центральным циферблатом, шторкой настроек сверху и панелью уведомлений снизу. Карточки приложений можно просматривать свайпом влево, а свайп вправо откроет экран с умным ассистентом, отображающим погоду, плеер для управления музыкой и события из календаря. Для перехода к главному меню можно нажать на коронку. Само меню представлено уже знакомым облаком круглых иконок. Для навигации: свайпы по экрану или вращение этой же коронки. Есть возможность перейти к списку, хотя он менее удобен. Двойное нажатие на коронку открывает меню активных задач — как на смартфоне. Быстро перейти к нужному приложению можно и с циферблата, если выведен виджет нужного сервиса. Особенно это удобно с циферблатом «Набор модулей», на который можно вывести пять различных информеров. В самом же приложении все метрики и статистику можно пролистывать как один большой список данных жестами или коронкой. Всё интутивно понятно. Для подключения часов к смартфону нужно загрузить приложение «HUAWEI Здоровье». Для этого можно отсканировать QR-код, который появится на экране при первом включении. С этим проблем нет. После сопряжения в приложении на вкладке «Здоровье» можно будет посмотреть всё, что измеряется и вычисляется. Там же при необходимости ведётся статистика взвешиваний и дневник питания — если хотите связать максимум данных. На вкладке «Устройства» будут отображаться сами часы, их настройки, заряд, меню выбора циферблата, загрузка музыки для автономного воспроизведения и другие функции, о которых поговорим чуть ниже. Отдельно отмечу магазин приложений AppGallery — именно для часов. Открывается он со смартфона, демонстрируя все доступные программы и пару игр. Выбор там по-прежнему невелик: календари, тайм-трекеры, заметки и немного навигации. Ваши данные как пользователя, а также достижения по части активности выводятся на вкладке «Я». Тренировки, рекомендуемые курсы и планы — в «Упражнениях». Здесь ничего не изменилось. Все ключевые параметры WATCH FIT 4 Pro отслеживают с помощью новой системы датчиков HUAWEI TruSense. Она позволяет фиксировать пульс, уровень кислорода в крови, температуру кожи, фазы сна и стрессовые состояния. У базовой модели WATCH FIT 4 багаж сенсоров поменьше и нет функции ЭКГ. «Прошка» же способна делать кардиограмму и сохранять её для врачей. Эти данные хоть и носят справочный характер, но могут помочь на ранних этапах распознать нарушения в работе сердца. Тем же, кто уже не вывозит давление на работе или испытывает какие-то личные переживания, может пригодиться функция «Эмоции». Часы оценивают частоту дыхания и вариабельность сердечного ритма, чтобы понять, когда у вас стресс. На основе этих данных будут персональные рекомендации для поддержания эмоционального баланса. Мелочь, но приятно. Невольно начинаешь следить, понимают ли часы, что ты уже «подгораешь» (понимают). Среди прочего есть диагностика артериальной жёсткости по скорости пульсовой волны. Эта метрика позволяет оценивать эластичность артерий, чтобы вовремя предотвращать заболевания сердца. В зависимости от результатов измерения приложение может дать рекомендации по увеличению физической активности или важности обращения к врачу. Часы поддерживают десятки различных тренировок. Посмотреть основные можно на экране по нажатию нижней кнопки на торце корпуса. Есть все базовые варианты бега, тренажёров и спортивных игр. Из необычного: режим дайвинга и продвинутого кроссового бега, а ещё помощник для гольфа. Режим дайвинга удалось реализовать как раз с помощью усиленной влагонепроницаемости корпуса, которую я уже упоминал ранее. Здесь не просто 5 ATM, как у базовой модели, а ещё и сертификация по стандарту EN13319, которую и должны проходить аксессуары для глубокого погружения. В данном случае она подтверждает возможность опускаться с часами на глубину до 40 метров, причём с возможностью измерения этой глубины. Мне сложно представить аквалангиста в гидрокостюме с баллонами воздуха и HUAWEI WATCH FIT 4 Pro, но сам факт такой защиты не может не радовать. К тому же тут прочный металлический корпус и сапфировое стекло. Всё вместе это просто вселяет уверенность, что гаджет надёжный. И нырять на глубину для этого совсем не обязательно. Что касается продвинутого режима кроссового бега, то тут главная фишка в возможности загрузки контурных офлайн-карт, причём цветных. Они позволяют всегда верно оценивать свой маршрут и положение даже вдали от цивилизации. Ориентация доступна и по ключевым точкам на маршруте — но есть она только в Pro-версии часов. Сами карты могут быть масштабом от 50 метров до 200 километров, причём с разметкой рельефа. А встроенный барометр всегда покажет высоту, на которой вы находитесь, — то что нужно для подъёмов в горы или просто хайкинга. Для таких активностей есть отдельные режимы тренировок. Навигацию расширили даже на водные виды активностей — маршрут теперь можно отслеживать во время сёрфинга, гребли и парусного спорта. Везде измеряются скорость, дистанция и пульс. Режим гольфа во всём этом наборе новых возможностей выглядит наименее привлекательно, но он тоже предлагает довольно широкие возможности. По сути, тут сразу два раздельных варианта. Первый — для любителей и игры в удовольствие. Для него доступны даже офлайн-карты полей со всеми их деталями. А вот второй уже для совершенствования техники — он позволяет прокачать свой свинг и отслеживать ключевые показатели, такие как время замаха и скорость удара. Всё это, конечно, здорово, но люди, способные позволить себе гольф на постоянной основе, — довольно странная целевая аудитория для универсальных смарт-часов, не претендующих на звание флагманского решения. Впрочем, HUAWEI WATCH FIT 4 Pro и без гольфистов найдут свою аудиторию. Часы оснащены динамиками и микрофоном, так что они умеют работать в режиме гарнитуры. Качество микрофона неплохое, но для шумных мест не подойдёт. Такой же проблемой для звука с часов может стать ветреная погода. Динамик аналогичного уровня — для связи за рулём подойдёт, но болтать на улице на ходу — не лучший вариант. Аналогично и с текстовым общением. Например, с часов можно отвечать на сообщения в Telegram. Но тут доступны либо заготовленные «Да», «Ок», «Нет» и так далее, либо можно попробовать набрать сообщение на не очень удобной маленькой клавиатурке (только c Android-смартфоном). Как вариант на экстренный случай — сгодится. Но пользоваться этим на постоянной основе вы вряд ли будете. В завершение отмечу функцию поиска часов. Если аксессуар потерялся где-то в комнате, можно активировать громкий звуковой сигнал. Иногда бывает полезно. HUAWEI WATCH FIT 4 Pro, как и базовая модель аксессуара, могут работать до 10 дней в не очень интенсивном режиме использования — без GPS и постоянной активности экрана. Но чаще всего это 6–7 дней, что всё равно очень неплохо. Многие аналоги по-прежнему работают лишь пару суток, поэтому автономность была и остаётся сильной стороной часов HUAWEI. Ну и зарядка тут тоже на уровне: беспроводная и довольно быстрая. HUAWEI WATCH FIT 4 Pro полностью заряжаются за час. Базовая версия требует на 15 минут больше. Магнитный «блинчик», конечно же, идёт в комплекте. HUAWEI WATCH FIT 4 Pro — это эволюция знакомой формулы: компактный корпус, узнаваемый стиль и всё, что нужно для повседневного использования. Только теперь — с вниманием к деталям, проработанным дизайном и более выраженным акцентом на здоровье и спорт. Если базовые WATCH FIT 4 — скорее лёгкий косметический апгрейд прошлой версии, то Pro-модель воспринимается уже как устройство на класс выше. Тут и сапфировое стекло, и ЭКГ, и мощная влагозащита для фридайвинга — всё это приближает часы к премиальному сегменту. Но при этом WATCH FIT 4 Pro сохраняет главный принцип линейки — разумную цену. От 19 990 рублей за такой субфлагман — это действительно очень неплохое предложение."
